stars,date,review
4.0,2025-08-30,책 이미 읽었는데 학교에서 선정해서 읽어야해서 주문하네요. 아이들이 좋아하는 책이에요. 이젠 소장~~
4.0,2025-08-29,책너무 좋아요 추천
4.0,2025-08-27,"논술학원 교재로 구매했어요.2편도 사려구요
기대됩니다"
4.0,2025-08-10,재밌게 잘 읽었습니다
4.0,2025-08-03,지인에게 추천받아 구매했어요. 기대되요.
4.0,2025-08-01,독고씨가 노숙자에서 민간인으로 살아가는 과정인 담긴 내용인데 감동적인 부분이 담겨져 있어 슬픈 책이다.
4.0,2025-07-29,내용이 평이하고 좋았어요.
4.0,2025-07-24,"익숙한 공간 속에서 펼쳐지는 작지만 찬란한 이야기들.
누구에게나 하나쯤은 있는 사연을 다정하게 품어주는 소설이에요."
3.0,2025-07-06,잔잔하면서도 술술 읽히는 글에 막힘없이 계속 읽어나갔다 궁금증이 풀리면서 이야기가 합쳐지고 그 속에서 나에게도 삶이란 어떤것인가 생각하게하는 글이었다
4.0,2025-07-02,재밌어요 잘 읽었습니다.
4.0,2025-06-22,
4.0,2025-06-22,역시 유명한 소설답게 술술읽히는 재미와 감동이 있습니다
4.0,2025-06-19,단숨에 읽는다 문제 연속인 삶가운데 마음을 따뜻하게  해주는 책이다
4.0,2025-06-12,재미있다고 하여 구매했습니다. 잘 읽어볼게요
4.0,2025-05-27,매우 재미있게 읽었어요!!!
4.0,2025-05-19,읽고싶은책이였는데 술술 잘읽히고 좋았습니다.
4.0,2025-05-15,동생이 읽고 싶다고 해서 사준 책이다. 내 것이 아니니까 솔직히 나는 읽지 못했다. 표지에는 한국 최고의 힐링 소설이라고 적혀 있었다. 자신도 모르게 쌓이고 있던 일상의 스트레스를 이 소설을 읽는동안 조금씩 씻어내가면 좋겠다.
4.0,2025-05-12,책구성 깔끔하고 아주 도움이 되었습니다.
4.0,2025-05-12,첫 문장부터 몰입이 잘 됐어요.
4.0,2025-05-01,내용이 재밌고 공감합니다
4.0,2025-05-01,내용이 재밌고 공감되요
4.0,2025-04-23,매우 기대하고 있어요!!!!
4.0,2025-04-19,마음 따뜻하게 해주는 책
4.0,2025-04-19,이야기 흐름이 마음을 따뜻하게 해주는 소설. 코로나시대배경에 추억도 돋게 해주는 소설
4.0,2025-04-09,"감명 깊게 읽었습니다 ^^
추천합니다!"
4.0,2025-04-01,따뜻함이 묻어나는 책이에요.
4.0,2025-03-31,"시간가는줄모르고 읽었습니다.
뒷이야기가 궁금하고 마음이 따뜻해집니다."
4.0,2025-03-20,아이가 학교에서 읽을 추천책으로 구매했어요.
4.0,2025-03-17,재미있어요. 읽어보세요.
4.0,2025-03-16,예전에 읽었는데 벚꽃에디션이 맘에 들어 소장용으로 주문했습니다.
4.0,2025-03-09,아... 가슴이 먹먹해지네요... 잔잔하게 쉽게 읽히면서도 먹먹함이 느껴집니다... 꼭 읽어 보시길
4.0,2025-02-25,잘 읽었습니다. 많은 생각이 딥니다
4.0,2025-02-23,꼭 읽고 싶었어요
4.0,2025-02-23,"따뜻함에 편안한 숨을 쉬어보며 말과 태도, 관계에 대해 뒤돌아보게 되는 책.  그런 느낌과 의미가 좋고 재밌기까지한!"
4.0,2025-01-24,엄청재밌어요!! 감동적입니다
4.0,2025-01-17,"그냥 재미있어요 감동도 있고 
책보고 연극도 하길래 보고왔어요"
4.0,2025-01-14,힐링을 주는 소설입니다. 마음 따뜻해지는 책이에요. 우울하거나 힘들 때 읽으면 좋을 것 같습니다. 기대 안하고 봤던 소설인데 의외로 엄청난 명작이었어요.
4.0,2025-01-12,추천받아서 구매했어요. 기대됩니다~
4.0,2025-01-02,재미있게 잘 읽었습니다.
4.0,2024-12-30,재밌게 잘 읽었습니다
4.0,2024-12-18,유명한데는 이유가 있죠
4.0,2024-12-17,마음이 너무 따뜻해지는 이야기에요
4.0,2024-12-13,너무너무 재미있어요
4.0,2024-12-13,너무너무 재미있어요~~
4.0,2024-12-11,베스트셀러에 계속 있길래 궁금해서 사봤습니다
4.0,2024-12-10,베스트셀러인 이유가 있어요. 한번 읽어보세요 강추
4.0,2024-11-28,웹툰을 보고 책을 봐도 감성이  살아  있는 작품 입니다
4.0,2024-11-27,재미있게 읽고있어요
4.0,2024-11-26,"누구라도  느낄수 있는 따스한 이야기~~~!!
강추요 ~~^^"
4.0,2024-11-23,처음부터 겁나 재밌습니다 어직 다 읽지는 않았지만 이제 막 책읽기 시작하시는 분들이 읽기 좋을거 같아요
4.0,2024-11-21,힐링이되는 편의점이다
4.0,2024-11-12,잘 읽었습니다. 좋은 책 감사합니다.
4.0,2024-11-12,잘 읽었습니다. 좋은 책 감사합니다.
4.0,2024-11-04,너무 재밌게 읽었습니다~~ 김호연 작가님 작품 최고에요^^
4.0,2024-10-28,뭐 실제로는 없을일
4.0,2024-10-28,이것도 선물한책 괜찮은책 따뜻한책
4.0,2024-10-23,너무 재밌네요 ~~~
4.0,2024-10-23,힐링하고싶을때 읽어보면 좋아요 ㅜ사람냄새 물씬풍기는 힐링소설입니다 ㅜ추천
4.0,2024-10-22,아이가 좋아해요~~~
4.0,2024-10-21,순식간에 읽히는 좋은 책이네요
4.0,2024-10-17,뭔가 마음이 따뜻해지네요
4.0,2024-10-16,재미있게 읽었어요
3.0,2024-10-14,편하게 읽을만한 책
3.0,2024-10-13,"기대만큼은 아니지만 나름 재밌었다.
술술 쉽게 읽히는 책."
4.0,2024-10-10,"재밌다고 하니 읽어보고싶네요,표지이쁨"
1.0,2024-10-02,따분하해서 반도 못읽고 나갑니다
4.0,2024-10-01,추천받아서 구매했습니다
4.0,2024-09-29,재미있게 읽었습니다
4.0,2024-09-21,마음이힐링되는책이네요 좋아요
4.0,2024-09-19,힐링도서 정말 너무 재밌습니다
4.0,2024-09-13,힐링감성으로 편안하게 읽기 좋은 소설입니다!!
4.0,2024-09-10,추천 받은책이고 소장하기 이쁜 책이네요
4.0,2024-09-09,재미있게 읽고있어요
4.0,2024-09-02,인기 많다고 해서 구매해봤어요 아직 안읽었는데 기대됩니당
4.0,2024-08-27,궁금했었는데 재밋너요 진짜 힐링되네요 ㅎㅎ
4.0,2024-08-26,힐링되는 책입니다.
4.0,2024-08-25,이제서야 읽어봅니다 기대되요
4.0,2024-08-23,아주 좋고 유익합니다.
4.0,2024-08-22,노숙자가 편의점에서 알바를 한다는 스토리가 정말 참신하고 내용이 따뜻해서 힐링되네요😊
4.0,2024-08-22,술술 잘 읽었습니다~^^
4.0,2024-08-22,초등아이가 보고 싶다고 구매했어요~ 재밌게 잘 읽었습니다.
4.0,2024-08-22,이 책 너무 흥미로워요
4.0,2024-08-22,재밌게 읽은책 소장합니다
4.0,2024-08-21,선물용으로 구매했습니다 만족합니다
4.0,2024-08-19,"중학생 조카가 읽고 싶다고 해서 선물했는데..
너무 재미나게 읽고 있다고 하네요^^"
4.0,2024-08-19,잘읽었어요~~~~~
4.0,2024-08-19,책장이 잘넘어가요 재밌게 읽었어요~
4.0,2024-08-17,학교준비물입니다.
4.0,2024-08-14,가슴 따뜻한 책!오자마자 단숨에 다 읽었네요.~감동♡
4.0,2024-08-13,
4.0,2024-08-13,가슴이 울컥 저리네요 최고의 힐링 편의점 가보고 싶네요 ^^
4.0,2024-08-10,독고씨의 인간성이 너무 따뜻하고 잔잔한 감동을 불러 일으켜서 읽으며 눈물이 주르륵....ㅠㅠ
4.0,2024-08-06,인물들의 감정을 깊게 통찰하여 이입되기에 수월했고 섬세하고 조심스레 인물들을 아끼고 있음이 전해진다
4.0,2024-08-02,딸이 읽은 책이지만 소장하고 싶다고 해서 구매합니다
4.0,2024-08-01,감동적인 이야기에요.
4.0,2024-07-31,"성인된 딸아이가 읽고 싶다고해서 구입했어요
학교생활 사회생활에 지칠때 힐링되길요"
4.0,2024-07-29,웹툰으로  보다가 구매했어요.
4.0,2024-07-29,유익한 책 입니다~!
3.0,2024-07-28,재밌게 잘 읽었습니다. 술술~~
4.0,2024-07-21,아이도 같이 재미있게 읽고 있습니다
4.0,2024-07-21,재밌게 잘 읽었습니다
4.0,2024-07-20,편안하게 잘 읽은 책 입니다.
4.0,2024-07-20,재미있게 읽어서 동생에게도 선물 했습니다.
3.0,2024-07-20,아이가 재미있게 읽었어요
4.0,2024-07-19,재밌게 잘 읽었습니다.
4.0,2024-07-18,최근에 뮤직드라마로 예고하길래..미리 원작소설을 접하게되었는데 힐링소설 잔 봤습니다
4.0,2024-07-18,최근에 뮤직드라마로 예고하길래..미리 원작소설을 접하게되었는데 힐링소설 잔 봤습니다
4.0,2024-07-15,독고씨가 정말 배려심이 깊어서 놀라웠다.
4.0,2024-07-10,이 책을 추천합니다~
4.0,2024-07-07,빠르고 정확한 배송 감사합니다
4.0,2024-07-07,감동적이었습니다 다 읽고나서 참참참(참깨라면+참소주+참치김밥)이 무척 땡겼습니다
4.0,2024-07-06,"아는분이 추천한책이라 구입했어요.
요즘은 다 이런 표지가 유행이군요. 
책읽고 싶게 생겼네요"
4.0,2024-07-02,아이가 재미있게 읽었습니다~!
4.0,2024-07-01,요즘 소설읽는재미가들려가지구ㅋㅋ
4.0,2024-06-28,우리 주변의 이아기를 담아 공감도 되고 따뜻함을 느낄 수 있는 소설입니다.
4.0,2024-06-25,읽다 보면 그냥 마음이 편해진다
4.0,2024-06-25,재미있게 잘 읽었습니다.
4.0,2024-06-22,따뜻한 내용입니다
4.0,2024-06-21,읽어보고 싶었는데 드디어 샀습니다.
4.0,2024-06-17,가독성 좋고 마지막은 정말 감동적이었음
4.0,2024-06-15,"작가의 감성이 살아 았음을 보았고, 인간의 따스한 감수성이 잘 표현된 책입니다."
4.0,2024-06-15,"이웃 친구가 추천한 책이 생각나서 구입했어요. 애들없을때 조용히 읽으려고합니다
벌써 표지부터가 읽고 싶네요. 빨리 읽고 불편한 편의점2. 가을버전도 보려고 합니다. 
기대되는 책^^"
4.0,2024-06-14,감사합니다 잘받았습니다
4.0,2024-06-14,무심코 읽었다가 마음이 몽글해지는 책 감사합니다
4.0,2024-06-13,유익한 책이에요~!
